Domestic exports
Period,Commodity,Province,Country,State,Value ($),Quantity,Unit of measure
2025-09-01,"0203.29.00 - Swine cuts, frozen nes",Saskatchewan,"China",N/A,10034,1251,Weight in kilograms
2025-06-01,"0209.10.00 - Pig fat,lean meat free,n rendered or o/w extrc,fr/chd/frz/sa/in brine/dr/smoked",Saskatchewan,"China",N/A,21511,6287,Weight in kilograms
2025-02-01,"0713.10.21 - Peas,certified organic,yellow,dried,shelled,w/n skinned/split,o/t seeds f sowing",Saskatchewan,"China",N/A,757132,820540,Weight in kilograms
2024-06-01,"0713.10.21 - Peas,certified organic,yellow,dried,shelled,w/n skinned/split,o/t seeds f sowing",Saskatchewan,"China",N/A,2132878,2865850,Weight in kilograms
2024-11-01,"0713.10.29 - Peas,certified organic,o/t yellow,dried,shelled,w/n skinned/split,o/t for sowing",Saskatchewan,"China",N/A,945234,849491,Weight in kilograms
2025-02-01,"0713.10.29 - Peas,certified organic,o/t yellow,dried,shelled,w/n skinned/split,o/t for sowing",Saskatchewan,"China",N/A,967759,1091591,Weight in kilograms
2024-08-01,"0713.10.94 - Peas, green, nes, dried, shelled, w/n skinned",Saskatchewan,"China",N/A,597950,797605,Weight in kilograms
2024-10-01,"0713.10.94 - Peas, green, nes, dried, shelled, w/n skinned",Saskatchewan,"China",N/A,3076942,4351188,Weight in kilograms
2025-05-01,"0713.10.94 - Peas, green, nes, dried, shelled, w/n skinned",Saskatchewan,"China",N/A,8836,15000,Weight in kilograms
2024-07-01,"0713.10.95 - Peas, yellow, nes, dried, shelled, w/n skinned",Saskatchewan,"China",N/A,402887,605660,Weight in kilograms
2024-03-01,"0713.10.99 - Peas, nes, dried, shelled, w/n skinned",Saskatchewan,"China",N/A,1657659,1741180,Weight in kilograms
2024-06-01,"0713.10.99 - Peas, nes, dried, shelled, w/n skinned",Saskatchewan,"China",N/A,490087,569530,Weight in kilograms
2025-01-01,"0713.10.99 - Peas, nes, dried, shelled, w/n skinned",Saskatchewan,"China",N/A,4916220,4841825,Weight in kilograms
2025-08-01,"0713.10.99 - Peas, nes, dried, shelled, w/n skinned",Saskatchewan,"China",N/A,43197,26750,Weight in kilograms
2024-04-01,"0713.20.91 - Chickpeas, Kabuli varieties, dried, shelled, whether or not skinned or split",Saskatchewan,"China",N/A,274256,374710,Weight in kilograms
2024-05-01,"1001.19.90 - Durum wheat, o/t certified organic, o/t seed for sowing",Saskatchewan,"China",N/A,538151,971,Weight in metric tonne
2024-11-01,"1001.19.90 - Durum wheat, o/t certified organic, o/t seed for sowing",Saskatchewan,"China",N/A,531527,1242,Weight in metric tonne
2024-09-01,"1001.99.31 - Red spring wheat, o/t certified organic, grade 1, o/t seed for sowing",Saskatchewan,"China",N/A,12209213,27587,Weight in metric tonne
2025-09-01,"1001.99.31 - Red spring wheat, o/t certified organic, grade 1, o/t seed for sowing",Saskatchewan,"China",N/A,8995579,24752,Weight in metric tonne
2024-02-01,"1001.99.32 - Red spring wheat, o/t certified organic, grade 2, o/t seed for sowing",Saskatchewan,"China",N/A,11734880,27469,Weight in metric tonne
2025-10-01,"1001.99.90 - Wheat, nes and meslin, o/t certified organic, o/t seed for sowing, nes",Saskatchewan,"China",N/A,1225393,2981,Weight in metric tonne
2024-07-01,"1003.10.00 - Barley, seed for sowing",Saskatchewan,"China",N/A,188614,884,Weight in metric tonne
2024-10-01,"1003.90.20 - Barley, for malting, o/t seed for sowing",Saskatchewan,"China",N/A,29287895,84120,Weight in metric tonne
2025-07-01,"1003.90.20 - Barley, for malting, o/t seed for sowing",Saskatchewan,"China",N/A,411334,993,Weight in metric tonne
2024-07-01,"1003.90.30 - Barley, certified organic, o/t seed for sowing or for malting",Saskatchewan,"China",N/A,95792,269,Weight in metric tonne
2025-02-01,"1001.99.32 - Red spring wheat, o/t certified organic, grade 2, o/t seed for sowing",Saskatchewan,"China",N/A,11127359,28283,Weight in metric tonne
2024-08-01,"1003.10.00 - Barley, seed for sowing",Saskatchewan,"China",N/A,29756,144,Weight in metric tonne
2025-03-01,"1003.90.20 - Barley, for malting, o/t seed for sowing",Saskatchewan,"China",N/A,18340013,50587,Weight in metric tonne
2025-10-01,"1006.30.00 - Rice, semi-milled or wholly milled, whether or not polished or glazed",Saskatchewan,"China",N/A,166100,511077,Weight in kilograms
2024-02-01,"1008.30.00 - Canary seeds",Saskatchewan,"China",N/A,106485,103990,Weight in kilograms
2024-03-01,"1008.90.10 - Wild rice",Saskatchewan,"China",N/A,493900,40000,Weight in kilograms
2024-04-01,"1008.90.10 - Wild rice",Saskatchewan,"China",N/A,657394,60973,Weight in kilograms
2024-06-01,"1008.60.00 - Triticale",Saskatchewan,"China",N/A,10,30,Weight in kilograms
2025-06-01,"1104.12.00 - Oats, rolled or flaked grains",Saskatchewan,"China",N/A,32102,56589,Weight in kilograms
2024-09-01,"1204.00.10 - Linseed, w/n broken, for sowing",Saskatchewan,"China",N/A,338541,472207,Weight in kilograms
2025-04-01,"1204.00.40 - Linseed, o/t organic, for oil extraction, w/n broken, o/t for sowing",Saskatchewan,"China",N/A,347022,603516,Weight in kilograms
2024-03-01,"1204.00.90 - Linseed, o/t organic, w/n broken, o/t for sowing, nes",Saskatchewan,"China",N/A,191605,168280,Weight in kilograms
2024-09-01,"1204.00.90 - Linseed, o/t organic, w/n broken, o/t for sowing, nes",Saskatchewan,"China",N/A,1544867,1849583,Weight in kilograms
2024-08-01,"1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken",Saskatchewan,"China",N/A,269713888,398760782,Weight in kilograms
2024-02-01,"1207.50.00 - Mustard seeds, whether or not broken",Saskatchewan,"China",N/A,51524,21000,Weight in kilograms
2024-05-01,"1207.50.00 - Mustard seeds, whether or not broken",Saskatchewan,"China",N/A,76685,42610,Weight in kilograms
2025-02-01,"1207.50.00 - Mustard seeds, whether or not broken",Saskatchewan,"China",N/A,25812,19958,Weight in kilograms
2025-05-01,"1207.50.00 - Mustard seeds, whether or not broken",Saskatchewan,"China",N/A,63926,42000,Weight in kilograms
2024-12-01,"1207.99.10 - Hemp seeds, whether or not broken",Saskatchewan,"China",N/A,43996,40000,Weight in kilograms
2024-04-01,"1209.21.90 - Lucerne (alfalfa) seeds, for sowing, o/t certified",Saskatchewan,"China",N/A,430731,98145,Weight in kilograms
2024-06-01,"1209.21.90 - Lucerne (alfalfa) seeds, for sowing, o/t certified",Saskatchewan,"China",N/A,116510,25000,Weight in kilograms
2024-09-01,"1209.21.90 - Lucerne (alfalfa) seeds, for sowing, o/t certified",Saskatchewan,"China",N/A,115141,25000,Weight in kilograms
2024-03-01,"1515.11.00 - Linseed oil, fixed, crude",Saskatchewan,"China",N/A,19157,3445,Weight in kilograms
2025-10-01,"2008.19.00 - Nuts and seeds,nes,incl mx, o/w prep or presvd,sugared,sweetened,spirited or not",Saskatchewan,"China",N/A,17028,5610,Weight in kilograms
2024-07-01,"2306.41.00 - Rape/colza seed oil-cake & o solid residue, low erucic acid, w/n ground/pellet",Saskatchewan,"China",N/A,35546851,71644165,Weight in kilograms
2025-05-01,"2306.41.00 - Rape/colza seed oil-cake & o solid residue, low erucic acid, w/n ground/pellet",Saskatchewan,"China",N/A,2750490,9119405,Weight in kilograms
2025-04-01,"2713.11.00 - Petroleum coke, not calcined",Saskatchewan,"China",N/A,925379,10998,Weight in metric tonne
2025-04-01,"3002.49.00 - Vaccines,toxins, cultures of micro-organisms (excl yeasts) and sim products, nes",Saskatchewan,"China",N/A,54535,320,Weight in kilograms
2024-01-01,"3104.20.00 - Potassium chloride, in packages weighing more than 10 kg",Saskatchewan,"China",N/A,68173427,190312000,Weight in kilograms
2024-07-01,"3104.20.00 - Potassium chloride, in packages weighing more than 10 kg",Saskatchewan,"China",N/A,36200854,111887000,Weight in kilograms
2025-04-01,"3104.20.00 - Potassium chloride, in packages weighing more than 10 kg",Saskatchewan,"China",N/A,19704753,55000000,Weight in kilograms
2025-05-01,"3303.00.00 - Perfumes and toilet waters",Saskatchewan,"China",N/A,38531,0,Blank
2025-01-01,"3808.93.00 - Herbicides,anti-sprouting prod & plant-growth regulators,put up frs/as prep/art",Saskatchewan,"China",N/A,64690,20868,Weight in kilograms
2025-08-01,"3823.19.00 - Industrial monocarboxylic fatty acids and acid oils from refining, nes",Saskatchewan,"China",N/A,71454,66469,Weight in kilograms
2025-02-01,"3824.99.00 - Chemical products and preparations, of the chemical or allied industries, nes",Saskatchewan,"China",N/A,97530,3143,Weight in kilograms
2024-03-01,"3920.10.00 - Film and sheet, etc, non-cellular, etc, of polymers of ethylene",Saskatchewan,"China",N/A,37834,6178,Weight in kilograms
2025-02-01,"4705.00.00 - Wood pulp, obtained by a combination of mechanical & chemical pulping processes",Saskatchewan,"China",N/A,12850577,19932,Metric tonne air dry
2025-07-01,"4705.00.00 - Wood pulp, obtained by a combination of mechanical & chemical pulping processes",Saskatchewan,"China",N/A,1282533,2095,Metric tonne air dry
2024-06-01,"4705.00.00 - Wood pulp, obtained by a combination of mechanical & chemical pulping processes",Saskatchewan,"China",N/A,35779057,51627,Metric tonne air dry
2025-02-01,"8433.90.00 - Parts of harvesting, threshing and other agricultural and mowing machinery",Saskatchewan,"China",N/A,473758,0,Blank
2025-07-01,"8433.90.00 - Parts of harvesting, threshing and other agricultural and mowing machinery",Saskatchewan,"China",N/A,114297,0,Blank
2025-01-01,"8714.10.00 - Motorcycle parts, including mopeds, nes",Saskatchewan,"China",N/A,326,0,Blank
2025-03-01,"9030.90.00 - P&a,for oscillos,spectrum analyzers,instr f meas/chk elec qty or meas/detect rad",Saskatchewan,"China",N/A,896,0,Blank
2024-12-01,"0203.22.00 - Hams, shoulders and cuts thereof, of swine, bone in, frozen",Saskatchewan,"China",N/A,112734,28350,Weight in kilograms
2024-01-01,"0713.10.10 - Pea seeds, of a kind used for sowing, dried, shelled",Saskatchewan,"China",N/A,3389937,3814078,Weight in kilograms
2024-05-01,"0713.10.21 - Peas,certified organic,yellow,dried,shelled,w/n skinned/split,o/t seeds f sowing",Saskatchewan,"China",N/A,5841092,5078533,Weight in kilograms
2025-01-01,"0713.10.21 - Peas,certified organic,yellow,dried,shelled,w/n skinned/split,o/t seeds f sowing",Saskatchewan,"China",N/A,1754683,1667460,Weight in kilograms
2025-04-01,"0713.10.21 - Peas,certified organic,yellow,dried,shelled,w/n skinned/split,o/t seeds f sowing",Saskatchewan,"China",N/A,618578,605320,Weight in kilograms
2024-03-01,"0713.10.29 - Peas,certified organic,o/t yellow,dried,shelled,w/n skinned/split,o/t for sowing",Saskatchewan,"China",N/A,169186,210780,Weight in kilograms
2024-06-01,"0713.10.29 - Peas,certified organic,o/t yellow,dried,shelled,w/n skinned/split,o/t for sowing",Saskatchewan,"China",N/A,74193,54400,Weight in kilograms
2024-12-01,"0713.10.29 - Peas,certified organic,o/t yellow,dried,shelled,w/n skinned/split,o/t for sowing",Saskatchewan,"China",N/A,100079,95390,Weight in kilograms
2024-02-01,"0713.10.93 - Peas, split, dried, nes",Saskatchewan,"China",N/A,1492651,1694200,Weight in kilograms
2024-04-01,"0713.10.93 - Peas, split, dried, nes",Saskatchewan,"China",N/A,326329,395590,Weight in kilograms
2025-03-01,"0713.10.93 - Peas, split, dried, nes",Saskatchewan,"China",N/A,619163,603040,Weight in kilograms
2024-01-01,"0713.10.94 - Peas, green, nes, dried, shelled, w/n skinned",Saskatchewan,"China",N/A,2137038,2774670,Weight in kilograms
2024-09-01,"0713.10.94 - Peas, green, nes, dried, shelled, w/n skinned",Saskatchewan,"China",N/A,2789243,3606505,Weight in kilograms
2025-03-01,"0713.10.94 - Peas, green, nes, dried, shelled, w/n skinned",Saskatchewan,"China",N/A,848212,942437,Weight in kilograms
2025-04-01,"0713.10.94 - Peas, green, nes, dried, shelled, w/n skinned",Saskatchewan,"China",N/A,294509,495460,Weight in kilograms
2024-06-01,"0713.10.95 - Peas, yellow, nes, dried, shelled, w/n skinned",Saskatchewan,"China",N/A,45107,82270,Weight in kilograms
2024-12-01,"0713.10.95 - Peas, yellow, nes, dried, shelled, w/n skinned",Saskatchewan,"China",N/A,3134696,5552290,Weight in kilograms
2025-03-01,"0713.10.95 - Peas, yellow, nes, dried, shelled, w/n skinned",Saskatchewan,"China",N/A,2825895,4425387,Weight in kilograms
2024-09-01,"0713.10.99 - Peas, nes, dried, shelled, w/n skinned",Saskatchewan,"China",N/A,997012,1055890,Weight in kilograms
2024-02-01,"0713.40.10 - Lentil seeds, of a kind used for sowing, dried, shelled",Saskatchewan,"China",N/A,96370,83000,Weight in kilograms
2024-07-01,"0713.40.95 - Lentils, o/t organic, red, dried, shelled, w/n skinned/split, nes",Saskatchewan,"China",N/A,218295,123750,Weight in kilograms
2025-04-01,"1001.19.90 - Durum wheat, o/t certified organic, o/t seed for sowing",Saskatchewan,"China",N/A,3932701,8924,Weight in metric tonne
2025-09-01,"1001.19.90 - Durum wheat, o/t certified organic, o/t seed for sowing",Saskatchewan,"China",N/A,10309835,25143,Weight in metric tonne
2024-05-01,"1001.99.21 - Red spring wheat, certified organic, o/t seed for sowing",Saskatchewan,"China",N/A,100875,384,Weight in metric tonne
2025-10-01,"1001.99.21 - Red spring wheat, certified organic, o/t seed for sowing",Saskatchewan,"China",N/A,130606,281,Weight in metric tonne
2025-05-01,"1001.99.31 - Red spring wheat, o/t certified organic, grade 1, o/t seed for sowing",Saskatchewan,"China",N/A,22775665,61398,Weight in metric tonne
2024-07-01,"1001.99.32 - Red spring wheat, o/t certified organic, grade 2, o/t seed for sowing",Saskatchewan,"China",N/A,666631,1617,Weight in metric tonne
2025-08-01,"1001.99.32 - Red spring wheat, o/t certified organic, grade 2, o/t seed for sowing",Saskatchewan,"China",N/A,10859921,28697,Weight in metric tonne
2024-02-01,"1001.99.90 - Wheat, nes and meslin, o/t certified organic, o/t seed for sowing, nes",Saskatchewan,"China",N/A,5818620,14546,Weight in metric tonne
2025-01-01,"1001.99.90 - Wheat, nes and meslin, o/t certified organic, o/t seed for sowing, nes",Saskatchewan,"China",N/A,194030,489,Weight in metric tonne
2024-11-01,"1003.90.20 - Barley, for malting, o/t seed for sowing",Saskatchewan,"China",N/A,26824219,70284,Weight in metric tonne
2024-09-01,"1001.99.32 - Red spring wheat, o/t certified organic, grade 2, o/t seed for sowing",Saskatchewan,"China",N/A,3111051,8264,Weight in metric tonne
2025-02-01,"1003.90.20 - Barley, for malting, o/t seed for sowing",Saskatchewan,"China",N/A,3832207,9986,Weight in metric tonne
2024-02-01,"1004.10.00 - Oats, seed for sowing",Saskatchewan,"China",N/A,383622,394271,Weight in kilograms
2024-07-01,"1004.10.00 - Oats, seed for sowing",Saskatchewan,"China",N/A,50939,53600,Weight in kilograms
2024-09-01,"1004.10.00 - Oats, seed for sowing",Saskatchewan,"China",N/A,119623,125831,Weight in kilograms
2025-03-01,"1004.10.00 - Oats, seed for sowing",Saskatchewan,"China",N/A,1063035,1057128,Weight in kilograms
2025-05-01,"1004.10.00 - Oats, seed for sowing",Saskatchewan,"China",N/A,91485,103960,Weight in kilograms
2024-02-01,"1004.90.90 - Oat, o/t certified organic, o/t seed for sowing",Saskatchewan,"China",N/A,57320,53070,Weight in kilograms
2024-12-01,"1004.90.90 - Oat, o/t certified organic, o/t seed for sowing",Saskatchewan,"China",N/A,25936,52805,Weight in kilograms
2025-01-01,"1004.90.90 - Oat, o/t certified organic, o/t seed for sowing",Saskatchewan,"China",N/A,250682,222007,Weight in kilograms
2024-01-01,"1006.30.00 - Rice, semi-milled or wholly milled, whether or not polished or glazed",Saskatchewan,"China",N/A,222371,684217,Weight in kilograms
2024-11-01,"1008.30.00 - Canary seeds",Saskatchewan,"China",N/A,328483,365450,Weight in kilograms
2025-04-01,"1008.30.00 - Canary seeds",Saskatchewan,"China",N/A,994029,1137872,Weight in kilograms
2025-05-01,"1008.30.00 - Canary seeds",Saskatchewan,"China",N/A,946141,917570,Weight in kilograms
2025-07-01,"1008.30.00 - Canary seeds",Saskatchewan,"China",N/A,283841,364590,Weight in kilograms
2024-04-01,"1004.10.00 - Oats, seed for sowing",Saskatchewan,"China",N/A,432233,426115,Weight in kilograms
2024-04-01,"1004.90.90 - Oat, o/t certified organic, o/t seed for sowing",Saskatchewan,"China",N/A,44448,39803,Weight in kilograms
2024-06-01,"1004.90.10 - Oat, certified organic, o/t seed for sowing",Saskatchewan,"China",N/A,14549,13268,Weight in kilograms
2025-01-01,"1103.19.10 - Oat groats and meal",Saskatchewan,"China",N/A,23649,42998,Weight in kilograms
2025-01-01,"1104.29.90 - Cereals, nes, hulled, pearled, sliced or kibbled, o/t rice of No 10.06",Saskatchewan,"China",N/A,569844,1383525,Weight in kilograms
2024-08-01,"1204.00.10 - Linseed, w/n broken, for sowing",Saskatchewan,"China",N/A,1624206,2705249,Weight in kilograms
2025-01-01,"1204.00.10 - Linseed, w/n broken, for sowing",Saskatchewan,"China",N/A,445849,605719,Weight in kilograms
2025-01-01,"1204.00.40 - Linseed, o/t organic, for oil extraction, w/n broken, o/t for sowing",Saskatchewan,"China",N/A,366808,634651,Weight in kilograms
2024-04-01,"1204.00.90 - Linseed, o/t organic, w/n broken, o/t for sowing, nes",Saskatchewan,"China",N/A,2191602,3150079,Weight in kilograms
2025-02-01,"1204.00.90 - Linseed, o/t organic, w/n broken, o/t for sowing, nes",Saskatchewan,"China",N/A,975601,981534,Weight in kilograms
2024-02-01,"1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken",Saskatchewan,"China",N/A,87640127,126255807,Weight in kilograms
2024-06-01,"1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken",Saskatchewan,"China",N/A,240815860,352038987,Weight in kilograms
2024-11-01,"1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken",Saskatchewan,"China",N/A,156037727,231008088,Weight in kilograms
2024-04-01,"1208.90.00 - Flours and meals, of oil seeds or oleaginous fruits, o/t mustard, nes",Saskatchewan,"China",N/A,4996186,9729418,Weight in kilograms
2024-05-01,"1209.21.90 - Lucerne (alfalfa) seeds, for sowing, o/t certified",Saskatchewan,"China",N/A,348585,75000,Weight in kilograms
2024-08-01,"1209.21.90 - Lucerne (alfalfa) seeds, for sowing, o/t certified",Saskatchewan,"China",N/A,116042,25000,Weight in kilograms
2025-07-01,"1209.29.21 - Seeds, Wheatgrass, crested, for sowing",Saskatchewan,"China",N/A,118089,18915,Weight in kilograms
2024-01-01,"1209.29.91 - Seeds, Wild rye, for sowing",Saskatchewan,"China",N/A,841378,292784,Weight in kilograms
2025-05-01,"1514.19.00 - Low erucic acid rape (canola) or colza oil and its fractions, refined",Saskatchewan,"China",N/A,16365,8258,Weight in kilograms
2024-06-01,"2008.19.00 - Nuts and seeds,nes,incl mx, o/w prep or presvd,sugared,sweetened,spirited or not",Saskatchewan,"China",N/A,20878,5610,Weight in kilograms
2024-03-01,"2306.41.00 - Rape/colza seed oil-cake & o solid residue, low erucic acid, w/n ground/pellet",Saskatchewan,"China",N/A,37670312,70645580,Weight in kilograms
2024-04-01,"2306.41.00 - Rape/colza seed oil-cake & o solid residue, low erucic acid, w/n ground/pellet",Saskatchewan,"China",N/A,28305039,57783214,Weight in kilograms
2024-10-01,"2306.41.00 - Rape/colza seed oil-cake & o solid residue, low erucic acid, w/n ground/pellet",Saskatchewan,"China",N/A,45796388,104431940,Weight in kilograms
2025-07-01,"2306.41.00 - Rape/colza seed oil-cake & o solid residue, low erucic acid, w/n ground/pellet",Saskatchewan,"China",N/A,12551100,30000000,Weight in kilograms
2024-09-01,"2713.11.00 - Petroleum coke, not calcined",Saskatchewan,"China",N/A,584177,10929,Weight in metric tonne
2025-01-01,"2713.11.00 - Petroleum coke, not calcined",Saskatchewan,"China",N/A,901067,10700,Weight in metric tonne
2025-10-01,"2713.11.00 - Petroleum coke, not calcined",Saskatchewan,"China",N/A,905926,11000,Weight in metric tonne
2024-04-01,"3104.20.00 - Potassium chloride, in packages weighing more than 10 kg",Saskatchewan,"China",N/A,37792936,103270000,Weight in kilograms
2024-09-01,"3104.20.00 - Potassium chloride, in packages weighing more than 10 kg",Saskatchewan,"China",N/A,49147656,147882000,Weight in kilograms
2024-10-01,"3104.20.00 - Potassium chloride, in packages weighing more than 10 kg",Saskatchewan,"China",N/A,80126053,238640000,Weight in kilograms
2024-02-01,"3104.30.00 - Potassium sulphate, in packages weighing more than 10 kg",Saskatchewan,"China",N/A,13661,21735,Weight in kilograms
2024-09-01,"3104.30.00 - Potassium sulphate, in packages weighing more than 10 kg",Saskatchewan,"China",N/A,3050,4918,Weight in kilograms
2024-09-01,"3823.19.00 - Industrial monocarboxylic fatty acids and acid oils from refining, nes",Saskatchewan,"China",N/A,65486,61394,Weight in kilograms
2025-05-01,"3823.19.00 - Industrial monocarboxylic fatty acids and acid oils from refining, nes",Saskatchewan,"China",N/A,71622,66625,Weight in kilograms
2025-05-01,"3824.99.00 - Chemical products and preparations, of the chemical or allied industries, nes",Saskatchewan,"China",N/A,62811,2196,Weight in kilograms
2024-09-01,"4705.00.00 - Wood pulp, obtained by a combination of mechanical & chemical pulping processes",Saskatchewan,"China",N/A,11644804,17337,Metric tonne air dry
2025-01-01,"4705.00.00 - Wood pulp, obtained by a combination of mechanical & chemical pulping processes",Saskatchewan,"China",N/A,8215363,12551,Metric tonne air dry
2025-04-01,"4705.00.00 - Wood pulp, obtained by a combination of mechanical & chemical pulping processes",Saskatchewan,"China",N/A,10890278,17284,Metric tonne air dry
2025-10-01,"7113.19.00 - Articles of jewellery & pts thereof,of o prec met,w/n plated/clad w precious met",Saskatchewan,"China",N/A,10000,0,Blank
2024-12-01,"4705.00.00 - Wood pulp, obtained by a combination of mechanical & chemical pulping processes",Saskatchewan,"China",N/A,12558737,19146,Metric tonne air dry
2025-05-01,"8517.62.00 - Machines,f reception/conversion/transmission/regeneration of voice/images/o data",Saskatchewan,"China",N/A,457692,0,Blank
2025-04-01,"8517.79.00 - Parts,of telephone sets,incl smartphones & o tel f cell networks/o wireless ntw",Saskatchewan,"China",N/A,9144,0,Blank
2024-03-01,"9207.90.00 - Musical instruments nes, sound generated or amplified electrically",Saskatchewan,"China",N/A,12675,11,Number
2024-12-01,"9207.90.00 - Musical instruments nes, sound generated or amplified electrically",Saskatchewan,"China",N/A,3735,3,Number
2025-03-01,"9207.90.00 - Musical instruments nes, sound generated or amplified electrically",Saskatchewan,"China",N/A,13040,11,Number
2024-07-01,"9506.99.90 - Art & equip,incl pts & access,f sports/outdoor games,nes,& swim & paddling pools",Saskatchewan,"China",N/A,13076,0,Blank
2024-12-01,"0713.10.21 - Peas,certified organic,yellow,dried,shelled,w/n skinned/split,o/t seeds f sowing",Saskatchewan,"China",N/A,2357130,1937810,Weight in kilograms
2025-06-01,"0713.10.10 - Pea seeds, of a kind used for sowing, dried, shelled",Saskatchewan,"China",N/A,160025,217782,Weight in kilograms
2025-02-01,"0713.10.10 - Pea seeds, of a kind used for sowing, dried, shelled",Saskatchewan,"China",N/A,1906304,2271730,Weight in kilograms
2024-04-01,"0713.10.10 - Pea seeds, of a kind used for sowing, dried, shelled",Saskatchewan,"China",N/A,767099,777770,Weight in kilograms
2024-03-01,"0713.10.21 - Peas,certified organic,yellow,dried,shelled,w/n skinned/split,o/t seeds f sowing",Saskatchewan,"China",N/A,3052547,2990560,Weight in kilograms
2024-09-01,"0713.10.21 - Peas,certified organic,yellow,dried,shelled,w/n skinned/split,o/t seeds f sowing",Saskatchewan,"China",N/A,213886,217600,Weight in kilograms
2024-08-01,"0713.10.93 - Peas, split, dried, nes",Saskatchewan,"China",N/A,463966,522910,Weight in kilograms
2024-12-01,"0713.10.93 - Peas, split, dried, nes",Saskatchewan,"China",N/A,1505643,1569060,Weight in kilograms
2025-01-01,"0713.10.93 - Peas, split, dried, nes",Saskatchewan,"China",N/A,7158152,12974674,Weight in kilograms
2024-03-01,"0713.10.94 - Peas, green, nes, dried, shelled, w/n skinned",Saskatchewan,"China",N/A,850144,1111930,Weight in kilograms
2024-12-01,"0713.10.94 - Peas, green, nes, dried, shelled, w/n skinned",Saskatchewan,"China",N/A,2942353,3592795,Weight in kilograms
2024-09-01,"0713.10.95 - Peas, yellow, nes, dried, shelled, w/n skinned",Saskatchewan,"China",N/A,20475898,40771386,Weight in kilograms
2024-01-01,"0713.10.99 - Peas, nes, dried, shelled, w/n skinned",Saskatchewan,"China",N/A,228733,193296,Weight in kilograms
2024-08-01,"0713.10.99 - Peas, nes, dried, shelled, w/n skinned",Saskatchewan,"China",N/A,347512,546100,Weight in kilograms
2025-05-01,"0713.10.99 - Peas, nes, dried, shelled, w/n skinned",Saskatchewan,"China",N/A,56139,101260,Weight in kilograms
2024-11-01,"0713.40.94 - Lentils, o/t organic, green, incl French, dried, shelled, w/n skinned/split, nes",Saskatchewan,"China",N/A,456627,536675,Weight in kilograms
2025-10-01,"0713.10.95 - Peas, yellow, nes, dried, shelled, w/n skinned",Saskatchewan,"China",N/A,29384676,73184400,Weight in kilograms
2024-07-01,"1001.99.31 - Red spring wheat, o/t certified organic, grade 1, o/t seed for sowing",Saskatchewan,"China",N/A,24935110,57251,Weight in metric tonne
2025-06-01,"1001.99.31 - Red spring wheat, o/t certified organic, grade 1, o/t seed for sowing",Saskatchewan,"China",N/A,13704833,37581,Weight in metric tonne
2024-03-01,"1001.99.32 - Red spring wheat, o/t certified organic, grade 2, o/t seed for sowing",Saskatchewan,"China",N/A,10088887,28447,Weight in metric tonne
2024-04-01,"1003.90.20 - Barley, for malting, o/t seed for sowing",Saskatchewan,"China",N/A,17672411,50558,Weight in metric tonne
2025-01-01,"1003.90.20 - Barley, for malting, o/t seed for sowing",Saskatchewan,"China",N/A,2146532,5436,Weight in metric tonne
